Txn Id;Local timestamp;Type;Result;Product;Serial Number;Device Id;Device Commission Code;Business Id;Business Name;Business Commission Code;Amount;EAN;Retailer Margin Rate;Retailer Margin (Inc. Tax);Supplier Margin Rate;Supplier Margin (Inc. Tax);Transaction Margin Flat Fee;Channel Margin Rate;Channel Margin (Inc. Tax);Flixbus Service Fee;Retailer Margin manual calculation;Supplier Margin manual calculation;Channel Margin manual calculation
TTTA20776553125;2024-08-06T09:46:44.331;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184238814;99224;cwl2283001;91208;Schwarzinger;22830;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20776559197;2024-08-06T09:59:27.423;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184241868;101044;top2257201;93090;Gehring;22572;28.48;2338828000001;5.000%;1.424;7.000%;1.994;0.020;0.500%;0.142;0.99;1.424;1.994;0.142
TTTA20776565814;2024-08-06T10:13:00.136;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184245631;119961;top2551702;107992;Meisail;25517;20.49;2338828000001;5.000%;1.025;7.000%;1.434;0.020;0.500%;0.102;0.99;1.025;1.434;0.102
TTTA20776565863;2024-08-06T10:13:03.594;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184245649;119961;top2551702;107992;Meisail;25517;20.49;2338828000001;5.000%;1.025;7.000%;1.434;0.020;0.500%;0.102;0.99;1.025;1.434;0.102
TTTA20776583049;2024-08-06T10:45:36.317;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184252978;104110;bdm2391401;97494;Wasinger;23914;21.49;2338828000001;5.000%;1.075;7.000%;1.504;0.020;0.500%;0.107;0.99;1.075;1.504;0.107
TTTA20776727109;2024-08-06T16:12:32.297;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184336347;117382;pos2298701;91571;Reichenauer;22987;56.99;2338828000001;5.000%;2.850;7.000%;3.989;0.020;0.500%;0.285;0.99;2.850;3.989;0.285
TTTA20776926255;2024-08-07T09:21:45.617;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184502009;119961;top2551702;107992;Meisail;25517;25.99;2338828000001;5.000%;1.300;7.000%;1.819;0.020;0.500%;0.130;0.99;1.300;1.819;0.130
TTTA20776982373;2024-08-07T11:36:46.726;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184533164;100405;top1647502;92509;Tauchner;16475;63.98;2338828000001;5.000%;3.199;7.000%;4.479;0.020;0.500%;0.320;0.99;3.199;4.479;0.320
TTTA20777093352;2024-08-07T15:55:52.496;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184604322;99173;cwl2238402;92864;Kobv Schulungs Gmbh;22384;8.99;2338828000001;5.000%;0.450;7.000%;0.629;0.020;0.500%;0.045;0.99;0.450;0.629;0.045
TTTA20777134560;2024-08-07T17:11:44.551;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184625731;98496;cwl1912903;90837;Peck;19129;68.99;2338828000001;5.000%;3.450;7.000%;4.829;0.020;0.500%;0.345;0.99;3.450;4.829;0.345
TTTA20777195561;2024-08-07T19:37:05.374;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184664268;121842;bdm2569201;109464;Friedenthal;25692;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20777204553;2024-08-07T20:19:21.059;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184676159;119961;top2551702;107992;Meisail;25517;68.97;2338828000001;5.000%;3.449;7.000%;4.828;0.020;0.500%;0.345;0.99;3.449;4.828;0.345
TTTA20777218249;2024-08-07T21:39:48.790;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184697262;119960;top2551701;107992;Meisail;25517;136.98;2338828000001;5.000%;6.849;7.000%;9.589;0.020;0.500%;0.685;0.99;6.849;9.589;0.685
TTTA20777407867;2024-08-08T13:51:47.972;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184851913;99224;cwl2283001;91208;Schwarzinger;22830;120.99;2338828000001;5.000%;6.050;7.000%;8.469;0.020;0.500%;0.605;0.99;6.050;8.469;0.605
TTTA20777487125;2024-08-08T16:40:39.603;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184907908;101195;top2312701;90953;Sampl;23127;191.97;2338828000001;5.000%;9.599;7.000%;13.438;0.020;0.500%;0.960;0.99;9.599;13.438;0.960
TTTA20777536822;2024-08-08T18:13:43.698;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3184934622;104110;bdm2391401;97494;Wasinger;23914;95.98;2338828000001;5.000%;4.799;7.000%;6.719;0.020;0.500%;0.480;0.99;4.799;6.719;0.480
TTTA20777597485;2024-08-08T23:03:45.640;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185009617;121842;bdm2569201;109464;Friedenthal;25692;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20777597493;2024-08-08T23:03:49.229;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185009635;121842;bdm2569201;109464;Friedenthal;25692;21.00;2338828000001;5.000%;1.050;7.000%;1.470;0.020;0.500%;0.105;0.99;1.050;1.470;0.105
TTTA20777813098;2024-08-09T14:34:52.442;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185154815;100953;top2212801;91670;Wagner;22128;25.49;2338828000001;5.000%;1.275;7.000%;1.784;0.020;0.500%;0.127;0.99;1.275;1.784;0.127
TTTA20777831389;2024-08-09T15:11:39.625;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185165355;98789;cwl1598102;92461;Müller;15981;29.48;2338828000001;5.000%;1.474;7.000%;2.064;0.020;0.500%;0.147;0.99;1.474;2.064;0.147
TTTA20777889239;2024-08-09T16:59:15.340;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185198507;101249;top2334601;96545;Kaufmann;23346;23.99;2338828000001;5.000%;1.200;7.000%;1.679;0.020;0.500%;0.120;0.99;1.200;1.679;0.120
TTTA20777890377;2024-08-09T17:01:45.638;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185199474;101249;top2334601;96545;Kaufmann;23346;22.49;2338828000001;5.000%;1.125;7.000%;1.574;0.020;0.500%;0.112;0.99;1.125;1.574;0.112
TTTA20777950452;2024-08-09T19:10:24.435;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185235082;119961;top2551702;107992;Meisail;25517;73.99;2338828000001;5.000%;3.700;7.000%;5.179;0.020;0.500%;0.370;0.99;3.700;5.179;0.370
TTTA20778086470;2024-08-10T10:06:05.711;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185356704;122007;top1644701;92570;Lesjak;16447;76.99;2338828000001;5.000%;3.850;7.000%;5.389;0.020;0.500%;0.385;0.99;3.850;5.389;0.385
TTTA20778116889;2024-08-10T11:08:08.720;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185370344;101235;top2329801;91392;Valcinov;23298;103.98;2338828000001;5.000%;5.199;7.000%;7.279;0.020;0.500%;0.520;0.99;5.199;7.279;0.520
TTTA20778186197;2024-08-10T13:44:20.476;PURCHASE;SUCCESSFUL;Flixbus Fahrkarte;3185406717;119962;top2551703;107992;Meisail;25517;69.98;2338828000001;5.000%;3.499;7.000%;4.899;0.020;0.500%;0.350;0.99;3.499;4.899;0.350
